miner,epoch,param.penalty,param.gasreward,param.wincount,block_reward,total_reward,penalty,reward_payable
t01001,85,0,0,5,27460409618594608775,27460409618594608775,0,27460409618594608775
t01000,85,0,0,3,16476245771156765265,16476245771156765265,0,16476245771156765265
t01002,85,0,0,1,5492081923718921755,5492081923718921755,0,5492081923718921755
t01000,86,0,0,1,5492081421160038423,5492081421160038423,0,5492081421160038423
t01000,87,0,0,1,5492080918601201085,5492080918601201085,0,5492080918601201085
t01000,88,0,30824490,1,5492080416042409742,5492080416073234232,0,5492080416073234232
t01001,88,0,0,2,10984160832084819484,10984160832084819484,0,10984160832084819484
t01002,88,0,0,1,5492080416042409742,5492080416042409742,0,5492080416042409742
t01001,89,0,0,1,5492079913483664394,5492079913483664394,0,5492079913483664394
t01002,89,0,0,2,10984159826967328788,10984159826967328788,0,10984159826967328788
t01000,89,0,0,1,5492079913483664394,5492079913483664394,0,5492079913483664394
t01000,90,0,2192228,3,16476238232774895120,16476238232777087348,0,16476238232777087348
t01001,90,0,0,1,5492079410924965040,5492079410924965040,0,5492079410924965040
t01002,91,0,2250228,2,10984157816732623361,10984157816734873589,0,10984157816734873589
t01000,91,0,0,1,5492078908366311680,5492078908366311680,0,5492078908366311680
t01002,92,0,5382447,5,27460392029038521580,27460392029043904027,0,27460392029043904027
t01000,92,0,0,2,10984156811615408632,10984156811615408632,0,10984156811615408632
t01000,93,0,4500456,1,5492077903249142945,5492077903253643401,0,5492077903253643401
t01002,93,0,0,2,10984155806498285891,10984155806498285891,0,10984155806498285891
t01001,93,0,0,2,10984155806498285891,10984155806498285891,0,10984155806498285891
t01000,94,0,4896201,2,10984154801381255140,10984154801386151341,0,10984154801386151341
t01001,94,0,0,3,16476232202071882710,16476232202071882710,0,16476232202071882710
t01002,94,0,0,2,10984154801381255140,10984154801381255140,0,10984154801381255140
t01000,95,0,881991,2,10984153796264316377,10984153796265198368,0,10984153796265198368
t01001,95,0,0,2,10984153796264316377,10984153796264316377,0,10984153796264316377
t01002,95,0,0,5,27460384490660790944,27460384490660790944,0,27460384490660790944
t01000,96,0,15428999,3,16476229186721204406,16476229186736633405,0,16476229186736633405
t01002,96,0,0,2,10984152791147469604,10984152791147469604,0,10984152791147469604
t01000,97,0,852991,1,5492075893015357410,5492075893016210401,0,5492075893016210401
t01001,97,0,0,1,5492075893015357410,5492075893015357410,0,5492075893015357410
t01002,97,0,0,2,10984151786030714820,10984151786030714820,0,10984151786030714820
t01002,98,0,4500456,1,5492075390457026012,5492075390461526468,0,5492075390461526468
t01001,98,0,0,3,16476226171371078037,16476226171371078037,0,16476226171371078037
t01000,99,0,841991,2,10984149775797481218,10984149775798323209,0,10984149775798323209
t01002,99,0,0,1,5492074887898740609,5492074887898740609,0,5492074887898740609
t01001,100,0,7633675,1,5492074385340501200,5492074385348134875,0,5492074385348134875
t01002,100,0,0,1,5492074385340501200,5492074385340501200,0,5492074385340501200
t01000,100,0,0,2,10984148770681002401,10984148770681002401,0,10984148770681002401
t01001,101,0,4017210,1,5492073882782307786,5492073882786324996,0,5492073882786324996
